title,authors,publishedDate,categories,description,averageRating,textSnippet,language
The Calculus Gallery,['William Dunham'],2005,['Mathematics'],"More than three centuries after its creation, calculus remains a dazzling intellectual achievement and the gateway into higher mathematics. This book charts its growth and development by sampling from the work of some of its foremost practitioners, beginning with Isaac Newton and Gottfried Wilhelm Leibniz in the late seventeenth century and continuing to Henri Lebesgue at the dawn of the twentieth--mathematicians whose achievements are comparable to those of Bach in music or Shakespeare in literature. William Dunham lucidly presents the definitions, theorems, and proofs. ""Students of literature read Shakespeare; students of music listen to Bach,"" he writes. But this tradition of studying the major works of the ""masters"" is, if not wholly absent, certainly uncommon in mathematics. This book seeks to redress that situation. Like a great museum, The Calculus Gallery is filled with masterpieces, among which are Bernoulli's early attack upon the harmonic series (1689), Euler's brilliant approximation of pi (1779), Cauchy's classic proof of the fundamental theorem of calculus (1823), Weierstrass's mind-boggling counterexample (1872), and Baire's original ""category theorem"" (1899). Collectively, these selections document the evolution of calculus from a powerful but logically chaotic subject into one whose foundations are thorough, rigorous, and unflinching--a story of genius triumphing over some of the toughest, most subtle problems imaginable. Anyone who has studied and enjoyed calculus will discover in these pages the sheer excitement each mathematician must have felt when pushing into the unknown. In touring The Calculus Gallery, we can see how it all came to be.",N/A,N/A,en
Calculus and Analytic Geometry,['Sherman K. Stein'],1977,['Mathematics'],"A revision of McGraw-Hill's leading calculus text for the 3-semester sequence taken primarily by math, engineering, and science majors. The revision is substantial and has been influenced by students, instructors in physics, engineering, and mathematics, and participants in the national debate on the future of calculus. Revision focused on these key areas: Upgrading graphics and design, expanding range of problem sets, increasing motivation, strengthening multi-variable chapters, and building a stronger support package.",N/A,N/A,en
The Theory of the Riemann Zeta-function,"['Edward Charles Titchmarsh', 'D. R. Heath-Brown']",1986,['Mathematics'],"The Riemann zeta-function is our most important tool in the study of prime numbers, and yet the famous ""Riemann hypothesis"" at its core remains unsolved. This book studies the theory from every angle and includes new material on recent work.",5,N/A,en
Calculus Made Easy,['Silvanus Phillips Thompson'],1927,['Calculus'],N/A,N/A,N/A,en
Calculus and Analytic Geometry,"['A. Riddle', 'Odwyer', 'Douglas F. Riddle']",1985-01-01,['Calculus'],* Offers a concise and easy to read introduction to calculus.,N/A,N/A,en
An Elementary Course of Infinitesimal Calculus,['Horace Lamb'],1949,['Calculus'],N/A,N/A,N/A,en
"Calculus, with Analytic Geometry","['Ron Larson', 'Robert P. Hostetler', 'David E. Heyd']",1979,['Mathematics'],N/A,N/A,N/A,en
A Tour of the Calculus,['David Berlinski'],1997-01-01,['Mathematics'],"A journey through the elements of calculus reveals the mysteries of mathematics, real numbers, functions, and limits, and explores the implications of calculus in defining and understanding the changing qualities of the universe",N/A,N/A,en
Introduction to Partial Differential Equations,['K. Sankara Rao'],2010-07-30,['Mathematics'],"Provides students with the fundamental concepts, the underlying principles, and various well-known mathematical techniques and methods, such as Laplace and Fourier transform techniques, the variable separable method, and Green's function method, to solve partial differential equations. It is supported by miscellaneous examples to enable students to assimilate the fundamental concepts and the techniques for solving PDEs with various initial and boundary conditions.",3.5,N/A,en
The Calculus 7,['Louis Leithold'],1996,['Mathematics'],"A revision and renewal of this calculus textbook, now in its seventh edition. The author has sought to utlilize the technology now available for the teaching and learning of calculus. The hand-held graphics calculator is one such form of technology that has been integrated into the book. Topics in algebra, trigonometry, and analytical geometry appear in the Appendix.",N/A,N/A,en
Inequalities,"['Godfrey Harold Hardy', 'John Edensor Littlewood', 'George Pólya']",1934,['Calculus'],N/A,N/A,N/A,en
Introduction to Calculus and Its Applications,"['Stanley J. Farlow', 'Gary Haggard']",1990,['Mathematics'],N/A,N/A,N/A,en
A Short Calculus; an Applied Approach,['Daniel Saltz'],1973,['Mathematics'],N/A,N/A,N/A,en
Calculus and Analytic Geometry,"['George B. Thomas', 'Ross L. Finney']",1984,[],N/A,N/A,N/A,en
Introduction to Calculus,['Joan Van Glabek'],1996,['Mathematics'],Test Yourself in Introduction to Calculus features sample tests for the following topics: Algebra Review; Functions and Limits; Derivatives; Applications of Derivatives; Integrals and Applications of Integration.,N/A,N/A,en
Active Calculus 2018,['Matthew Boelkins'],2018-08-13,[],"Active Calculus - single variable is a free, open-source calculus text that is designed to support an active learning approach in the standard first two semesters of calculus, including approximately 200 activities and 500 exercises. In the HTML version, more than 250 of the exercises are available as interactive WeBWorK exercises; students will love that the online version even looks great on a smart phone. Each section of Active Calculus has at least 4 in-class activities to engage students in active learning. Normally, each section has a brief introduction together with a preview activity, followed by a mix of exposition and several more activities. Each section concludes with a short summary and exercises; the non-WeBWorK exercises are typically involved and challenging. More information on the goals and structure of the text can be found in the preface.",N/A,N/A,en
Excursions in Calculus,['Robert M. Young'],1992,['Mathematics'],"This book explores the interplay between the two main currents of mathematics, the continuous and the discrete.",4,N/A,en
Calculus and Analytic Geometry,['Douglas F. Riddle'],1984,['Calculus'],N/A,N/A,N/A,en
Introduction to Numerical Analysis,['Francis Begnaud Hildebrand'],1956,['Calculus'],N/A,N/A,N/A,en
Calculus,"['Dennis Zill', 'Warren S. Wright']",2009-12-11,['Computers'],"Appropriate for the traditional 3-term college calculus course, Calculus: Early Transcendentals, Fourth Edition provides the student-friendly presentation and robust examples and problem sets for which Dennis Zill is known. This outstanding revision incorporates all of the exceptional learning tools that have made Zill's texts a resounding success. He carefully blends the theory and application of important concepts while offering modern applications and problem-solving skills.",5,N/A,en
University Physics,"['Wolfgang Bauer', 'Gary D. Westfall']",2011,['Calculus'],N/A,N/A,N/A,en
Calculus with Analytical Geometry,['Howard Anton'],1980,['Calculus'],N/A,N/A,N/A,en
"A History of the Conceptions of Limits and Fluxions in Great Britain, from Newton to Woodhouse",['Florian Cajori'],1919,['Mathematics'],N/A,N/A,N/A,en
Calculus,"['Elgin H. Johnston', 'Jerold C. Mathews']",2001-12,['Education'],Contains detailed solutions for all odd-numbered exercises in Chapters 8-12.,N/A,N/A,en
Calculus: Its Applications,"['Goldstein', 'David C. Lay']",2000-12-13,['Mathematics'],N/A,N/A,N/A,en
The Concepts of the Calculus,['Carl Benjamin Boyer'],1939,['Mathematics'],Provides a critical account of the creation of the fundamental ideas of calculus from their inception to the formulation of these in the concepts familiar to students of the elements of mathematical analysis.,N/A,N/A,en
Calculus,['James Stewart'],2008,['Calculus'],"Appropriate for the traditional 2 or 3-term college calculus course, this textbook presents the fundamentals of calculus. Topics include, but are not limited to: a review of polynomials, trigonometric, exponential, and logarithmic functions, followed by discussions of limits, derivatives, applications of differential calculus to real-world problem areas, an overview of integration, basic techniques for integration, a variety of applications of integration, and an introduction to (systems of) differential equations.",N/A,N/A,en
Analytical Institutions in Four Books,['Maria Gaetana Agnesi'],1801,['Calculus'],N/A,N/A,N/A,en
The Elements of Real Analysis,['Robert Gardner Bartle'],1976,['Functions of real variables'],A glimpse at st theory; The real numbers; The topology of cartesian spaces; Convergence; Continuous functions; Functions of one variable; Infinite series.,N/A,N/A,en
Barron's Math 360: A Complete Study Guide to Pre-Calculus with Online Practice,"[""Barron's Educational Series"", 'Lawrence S. Leff', 'Christina Pawlowski-Polanish']",2021-09-07,['Education'],"Previously published under the titles Precalculus the easy way, and E-Z precalculus.",N/A,N/A,en
Differential and Integral Calculus,"['Clyde Elton Love', 'Earl David Rainville']",1962,['Calculus'],N/A,N/A,N/A,en
Advanced Calculus,['Robert Creighton Buck'],2003,['Calculus'],"Demonstrating analytical and numerical techniques for attacking problems in the application of mathematics, this well-organized, clearly written text presents the logical relationship and fundamental notations of analysis. Buck discusses analysis not solely as a tool, but as a subject in its own right. This skill-building volume familiarizes students with the language, concepts, and standard theorems of analysis, preparing them to read the mathematical literature on their own. The text revisits certain portions of elementary calculus and gives a systematic, modern approach to the differential and integral calculus of functions and transformations in several variables, including an introduction to the theory of differential forms. The material is structured to benefit those students whose interests lean toward either research in mathematics or its applications.",N/A,N/A,en
A Short Course in Interpolation,"['Edmund Taylor Whittaker', 'George Robinson']",1923,['Calculus'],N/A,N/A,N/A,en
Advanced Calculus,['Harold M. Edwards'],1994-01-05,['Education'],"This book is a high-level introduction to vector calculus based solidly on differential forms. Informal but sophisticated, it is geometrically and physically intuitive yet mathematically rigorous. It offers remarkably diverse applications, physical and mathematical, and provides a firm foundation for further studies.",N/A,N/A,en
Change,['Open University. Modelling by Mathematics Course Team'],1977,['Calculus'],N/A,N/A,N/A,en
A Treatise of Fluxions,['Colin MacLaurin'],1742,['Calculus'],N/A,N/A,N/A,en
Calculus on Manifolds,[],1965,['Calculus'],N/A,N/A,N/A,en
Foundations of Analysis,['Edmund Landau'],1951,['Calculus'],N/A,N/A,N/A,en
Calculus,['Robert A. Adams'],1999,['Calculus'],Solutions are detailed in exercises on core materials and techniques.,N/A,N/A,en
Infinite Powers,['Steven Strogatz'],2019,['Biography & Autobiography'],"This is the captivating story of mathematics' greatest ever idea: calculus. Without it, there would be no computers, no microwave ovens, no GPS, and no space travel. But before it gave modern man almost infinite powers, calculus was behind centuries of controversy, competition, and even death. Taking us on a thrilling journey through three millennia, professor Steven Strogatz charts the development of this seminal achievement from the days of Aristotle to today's million-dollar reward that awaits whoever cracks Reimann's hypothesis. Filled with idiosyncratic characters from Pythagoras to Euler, Infinite Powers is a compelling human drama that reveals the legacy of calculus on nearly every aspect of modern civilization, including science, politics, ethics, philosophy, and much besides.",N/A,N/A,en
Advanced Calculus for Applications,['Francis Begnaud Hildebrand'],1962,['Mathematics'],N/A,N/A,N/A,en
Calculus,['Robert Alexander Adams'],2006,['Mathematics'],N/A,N/A,N/A,en
Elementary Calculus,['H. Jerome Keisler'],2002,[],N/A,N/A,N/A,en
A Brief Introduction to the Infinitesimal Calculus,['Irving Fisher'],1937,[],N/A,N/A,N/A,en
Thomas' Calculus,"['Joel Hass', 'Christopher Heil', 'Maurice Weir']",2017-04-12,['Calculus'],"NOTE: This edition features the same content as the traditional text in a convenient, three-hole-punched, loose-leaf version. Books a la Carte also offer a great value; this format costs significantly less than a new textbook. Before purchasing, check with your instructor or review your course syllabus to ensure that you select the correct ISBN. For Books a la Carte editions that include MyLab(tm) or Mastering(tm), several versions may exist for each title -- including customized versions for individual schools -- and registrations are not transferable. In addition, you may need a Course ID, provided by your instructor, to register for and use MyLab or Mastering products. For the single-variable component of three-semester or four-quarter courses in Calculus for students majoring in mathematics, engineering, or science Clarity and precision Thomas'' Calculus: Early Transcendentals, Single Variable helps students reach the level of mathematical proficiency and maturity you require, but with support for students who need it through its balance of clear and intuitive explanations, current applications, and generalized concepts. In the 14th Edition, new co-author Christopher Heil (Georgia Institute of Technology) partners with author Joel Hass to preserve what is best about Thomas'' time-tested text while reconsidering every word and every piece of art with today''s students in mind. The result is a text that goes beyond memorizing formulas and routine procedures to help students generalize key concepts and develop deeper understanding. Also available with MyLab Math MyLab(tm) Math is an online homework, tutorial, and assessment program designed to work with this text to engage students and improve results. Within its structured environment, students practice what they learn, test their understanding, and pursue a personalized study plan that helps them absorb course material and understand difficult concepts. A full suite of Interactive Figures have been added to the accompanying MyLab Math course to further support teaching and learning. Enhanced Sample Assignments include just-in-time prerequisite review, help keep skills fresh with distributed practice of key concepts, and provide opportunities to work exercises without learning aids to help students develop confidence in their ability to solve problems independently. Note: You are purchasing a standalone product; MyLab does not come packaged with this content. Students, if interested in purchasing this title with MyLab, ask your instructor for the correct package ISBN and Course ID. Instructors, contact your Pearson representative for more information. If you would like to purchase both the physical text and MyLab, search for: 0134775821 / 9780134775821 Thomas'' Calculus: Early Transcendentals, Single Variable, Books a la Carte Edition plus MyLab Math with Pearson eText -- Access Card package 14/e Package consists of: 0134639537 / 9780134639536 Thomas'' Calculus: Early Transcendentals, Single Variable, Books a la Carte Edition 0134764528 / 9780134764528 MyLab Math plus Pearson eText - Standalone Access Card - for Thomas'' Calculus: Early Transcendentals",N/A,N/A,en
"Table of Integrals, Series, and Products","['Izrailʹ Solomonovich Gradshteĭn', 'Iosif Moiseevich Ryzhik']",1965,['Calculus'],N/A,N/A,N/A,en
